"Date","Open","High","Low","Close","Volume"
"04/17/2026","199.9","201.68","199.27","200.5021","111,966,600"
"04/16/2026","197.43","199.85","195.81","198.35","134,012,900"
"04/15/2026","196.54","200.4","195.74","198.87","185,338,400"
"04/14/2026","190.84","196.51","190.77","196.51","161,307,000"
"04/13/2026","186.03","189.66","185.74","189.31","133,648,200"
"04/10/2026","184.31","190","184.3","188.63","160,459,500"
"04/09/2026","181.84","184.08","180.62","183.91","116,428,500"
"04/08/2026","184.5","185.26","180.3","182.08","147,732,700"
"04/07/2026","175.725","178.23","173.66","178.1","132,534,900"
"04/06/2026","177.155","177.79","175.76","177.64","107,564,300"
"04/02/2026","172.18","177.49","171.37","177.39","143,143,200"
"04/01/2026","176","177.37","174.75","175.75","168,132,000"
"03/31/2026","166.97","174.62","166.96","174.4","226,181,300"
"03/30/2026","168.78","169.45","164.27","165.17","185,627,000"
"03/27/2026","170","170.97","167.01","167.52","196,212,700"
"03/26/2026","176.07","176.51","171.14","171.24","186,152,200"
"03/25/2026","177.1","181.22","176.85","178.68","162,602,100"
"03/24/2026","174.83","176.22","173.98","175.2","147,667,800"
"03/23/2026","177.255","178.37","174.76","175.64","182,836,300"
"03/20/2026","178","178.26","171.72","172.7","241,323,500"
"03/19/2026","178.01","179.98","175.785","178.56","170,968,500"
"03/18/2026","182.48","183.38","180.33","180.4","156,683,100"
"03/17/2026","185.06","185.4","181.6804","181.93","182,497,800"
"03/16/2026","182.97","188.88","181.41","183.22","217,307,400"
"03/13/2026","184.92","186.09","179.94","180.25","160,988,400"
"03/12/2026","184.05","184.94","181.75","183.14","155,762,700"
"03/11/2026","185.91","187.62","184.45","186.03","145,280,400"
"03/10/2026","182.4","186.44","182.01","184.77","179,118,500"
"03/09/2026","176.83","182.91","175.56","182.65","177,213,600"
"03/06/2026","179.84","182.7561","176.8201","177.82","189,021,900"
"03/05/2026","181.17","184.06","177.88","183.34","198,779,700"
"03/04/2026","180.44","184.7","180.06","183.04","177,731,200"
"03/03/2026","178.49","180.9","176.92","180.05","178,099,400"
"03/02/2026","175.01","183.46","174.64","182.48","209,095,300"
"02/27/2026","181.25","182.59","176.38","177.19","311,636,500"
"02/26/2026","194.27","194.29","184.315","184.89","360,807,900"
"02/25/2026","194.45","197.6299","193.79","195.56","250,637,100"
"02/24/2026","191.49","193.77","187.4","192.85","175,123,600"
"02/23/2026","191.4","193.95","189.575","191.55","171,584,800"
"02/20/2026","186.57","190.33","185.9378","189.82","178,422,300"
"02/19/2026","187.055","188.43","185.66","187.9","126,554,500"
"02/18/2026","188.75","190.37","186.76","187.98","164,749,100"
"02/17/2026","181.75","187.15","179.18","184.97","162,276,900"
"02/13/2026","187.475","187.5","181.59","182.81","161,888,000"
"02/12/2026","193.03","193.61","186.51","186.94","189,932,500"
"02/11/2026","192.45","193.26","188.77","190.05","144,192,700"
"02/10/2026","191.38","192.48","188.12","188.54","136,764,800"
"02/09/2026","184.26","193.66","183.95","190.04","196,387,400"
"02/06/2026","176.69","187","174.6","185.41","231,346,200"
"02/05/2026","174.925","176.815","171.03","171.88","206,312,900"
"02/04/2026","179.46","179.58","171.91","174.19","207,014,100"
"02/03/2026","186.24","186.27","176.23","180.34","204,019,600"
"02/02/2026","187.2","190.3","184.88","185.61","165,794,100"
"01/30/2026","191.21","194.49","189.47","191.13","179,489,500"
"01/29/2026","191.34","193.48","186.06","192.51","171,764,400"
"01/28/2026","191.27","192.35","189.84","191.52","148,552,700"
"01/27/2026","187.24","190","185.7","188.52","143,711,600"
"01/26/2026","187.16","189.12","185.99","186.47","124,799,600"
"01/23/2026","187.5","189.6","186.8233","187.67","142,748,100"
"01/22/2026","184.75","186.17","183.93","184.84","139,636,600"
"01/21/2026","179.05","185.379","178.4","183.32","200,381,000"
"01/20/2026","181.9","182.3786","177.61","178.07","223,345,300"
"01/16/2026","189.075","190.44","186.08","186.23","187,967,200"
"01/15/2026","186.5","189.7","186.33","187.05","206,188,600"
"01/14/2026","184.32","184.46","180.8","183.14","159,586,100"
"01/13/2026","184.995","188.1099","183.4","185.81","160,128,900"
"01/12/2026","183.22","187.12","183.02","184.94","137,968,500"
"01/09/2026","185.08","186.34","183.6701","184.86","131,327,500"
"01/08/2026","189.11","189.55","183.71","185.04","172,457,000"
